Date,Product,Location,Units_Sold
2024-01-01,Cereal,Store A,112
2024-01-02,Cereal,Store A,120
2024-01-03,Cereal,Store A,121
2024-01-04,Cereal,Store A,125
2024-01-05,Cereal,Store A,118
2024-01-06,Cereal,Store A,119
2024-01-07,Cereal,Store A,119
2024-01-08,Cereal,Store A,118
2024-01-09,Cereal,Store A,110
2024-01-10,Cereal,Store A,128
2024-01-11,Cereal,Store A,128
2024-01-12,Cereal,Store A,117
2024-01-13,Cereal,Store A,123
2024-01-14,Cereal,Store A,122
2024-01-15,Cereal,Store A,123
2024-01-16,Cereal,Store A,116
2024-01-17,Cereal,Store A,124
2024-01-18,Cereal,Store A,131
2024-01-19,Cereal,Store A,141
2024-01-20,Cereal,Store A,131
2024-01-21,Cereal,Store A,130
2024-01-22,Cereal,Store A,127
2024-01-23,Cereal,Store A,127
2024-01-24,Cereal,Store A,135
2024-01-25,Cereal,Store A,132
2024-01-26,Cereal,Store A,127
2024-01-27,Cereal,Store A,125
2024-01-28,Cereal,Store A,130
2024-01-29,Cereal,Store A,128
2024-01-30,Cereal,Store A,131
2024-01-31,Cereal,Store A,130
2024-02-01,Cereal,Store A,133
2024-02-02,Cereal,Store A,125
2024-02-03,Cereal,Store A,136
2024-02-04,Cereal,Store A,145
2024-02-05,Cereal,Store A,137
2024-02-06,Cereal,Store A,132
2024-02-07,Cereal,Store A,135
2024-02-08,Cereal,Store A,125
2024-02-09,Cereal,Store A,122
2024-02-10,Cereal,Store A,133
2024-02-11,Cereal,Store A,127
2024-02-12,Cereal,Store A,122
2024-02-13,Cereal,Store A,124
2024-02-14,Cereal,Store A,122
2024-02-15,Cereal,Store A,128
2024-02-16,Cereal,Store A,130
2024-02-17,Cereal,Store A,131
2024-02-18,Cereal,Store A,131
2024-02-19,Cereal,Store A,130
2024-02-20,Cereal,Store A,124
2024-02-21,Cereal,Store A,122
2024-02-22,Cereal,Store A,117
2024-02-23,Cereal,Store A,129
2024-02-24,Cereal,Store A,122
2024-02-25,Cereal,Store A,120
2024-02-26,Cereal,Store A,128
2024-02-27,Cereal,Store A,117
2024-02-28,Cereal,Store A,125
2024-02-29,Cereal,Store A,122
2024-03-01,Cereal,Store A,114
2024-03-02,Cereal,Store A,119
2024-03-03,Cereal,Store A,123
2024-03-04,Cereal,Store A,122
2024-03-05,Cereal,Store A,125
2024-03-06,Cereal,Store A,118
2024-03-07,Cereal,Store A,133
2024-03-08,Cereal,Store A,111
2024-03-09,Cereal,Store A,113
2024-03-10,Cereal,Store A,114
2024-03-11,Cereal,Store A,107
2024-03-12,Cereal,Store A,119
2024-03-13,Cereal,Store A,117
2024-03-14,Cereal,Store A,113
2024-03-15,Cereal,Store A,109
2024-03-16,Cereal,Store A,104
2024-03-17,Cereal,Store A,107
